"","V0","V1","V2"
"1204","mavik",8205,5
"1205","mavin",9320,5
"1206","mavis",10344,5
"1207","maxed",9698,5
"1208","maxim",8419,4
"1209","mayan",11307,4
"1210","maybe",10203,5
"1211","mayer",11650,5
"1212","mayor",10505,5
"1213","mazar",10950,4
"1214","mazed",9674,5
"1215","mazer",10780,5
"1216","nabob",9586,4
"1217","nacho",10056,5
"1218","nacre",12525,5
"1219","nadir",11336,5
"1220","naevi",11666,5
"1221","nafta",11544,4
"1222","nafud",8693,5
"1223","nahum",9051,5
"1224","naiad",12650,4
"1225","naias",14267,4
"1226","naiki",10775,4
"1227","nails",12643,5
"1228","naira",13756,4
"1229","naive",11666,5
"1230","najas",12128,4
"1231","naked",10891,5
"1232","namby",8546,5
"1233","named",11317,5
"1234","namer",12423,5
"1235","names",12934,5
"1236","namib",9793,5
"1237","nammu",9173,4
"1238","namoi",11239,5
"1239","nampa",11354,4
"1240","namur",10375,5
"1241","nanak",11654,3
"1242","nance",12012,4
"1243","nancy",9582,4
"1244","nanda",12176,3
"1245","nandu",9958,4
"1246","nanga",11793,3
"1247","nanna",12769,2
"1248","nanny",10169,3
"1249","nanus",11575,4
"1250","naomi",11239,5
"1251","nappy",8717,4
"1252","naqua",10625,4
"1253","narco",11380,5
"1254","nardo",11374,5
"1255","nares",14136,5
"1256","naris",12953,5
"1257","nasal",13996,4
"1258","nasty",11233,5
"1259","nasua",13402,4
"1260","natal",13012,4
"1261","nates",13663,5
"1262","natta",12849,3
"1263","natty",10249,4
"1264","nauch",9153,5
"1265","nauru",10673,4
"1266","naval",11565,4
"1267","navel",11395,5
"1268","navvy",7355,4
"1269","nawab",10509,4
"1270","oaken",11996,5
"1271","oakum",9259,5
"1272","oases",15159,4
"1273","oasis",13976,4
"1274","oaten",13151,5
"1275","oates",14175,5
"1276","oaths",11707,5
"1277","pabir",10269,5
"1278","pablo",9997,5
"1279","pacas",12480,4
"1280","paced",10693,5
"1281","pacer",11799,5
"1282","paces",12310,5
"1283","pacha",10645,4
"1284","packs",9538,5
"1285","pacos",11165,5
"1286","padda",10857,3
"1287","paddy",8257,4
"1288","padre",11793,5
"1289","padua",11059,4
"1290","paean",13700,4
"1291","pagad",10474,4
"1292","pagan",11067,4
"1293","paged",10304,5
"1294","pager",11410,5
"1295","pages",11921,5
"1296","paget",10937,5
"1297","paige",11371,5
"1298","paine",12347,5
"1299","pains",11714,5
"1300","paint",10730,5
"1301","pairs",12227,5
"1302","paisa",13541,4
"1303","paise",13371,5
"1304","palas",13270,4
"1305","palau",11855,4
"1306","palea",13903,4
"1307","paleo",12588,5
"1308","paler",12589,5
"1309","pally",9849,4
"1310","palma",11557,4
"1311","palms",10754,5
"1312","palmy",8957,5
"1313","palpi",10167,4
"1314","palsy",10670,5
"1315","pamir",10514,5
"1316","panax",10424,4
"1317","panda",11450,4
"1318","pandy",8850,5
"1319","panel",12076,5
"1320","panes",12897,5
"1321","panga",11067,4
"1322","pango",9752,5
"1323","pangs",10264,5
"1324","panic",10103,5
"1325","pansa",13067,4
"1326","pansy",10467,5
"1327","panto",10768,5
"1328","pants",11280,5
"1329","panty",9483,5
"1330","paola",12758,4
"1331","paolo",11443,4
"1332","papal",11520,3
"1333","papaw",9991,3
"1334","paper",11660,4
"1335","papio",10476,4
"1336","pappa",10591,2
"1337","pappi",9238,3
"1338","pappy",7991,3
"1339","papua",10926,3
"1340","parch",9331,5
"1341","pared",11793,5
"1342","parer",12899,4
"1343","paris",12227,5
"1344","parji",9538,5
"1345","parka",11441,4
"1346","parks",10638,5
"1347","parky",8841,5
"1348","parol",11444,5
"1349","parry",10469,4
"1350","parse",13410,5
"1351","parsi",12227,5
"1352","parti",11243,5
"1353","parts",11793,5
"1354","party",9996,5
"1355","parus",11362,5
"1356","parve",10979,5
"1357","parvo",9834,5
"1358","pasch",9842,5
"1359","paseo",13409,5
"1360","pasha",12256,4
"1361","pasos",12776,4
"1362","passe",13921,4
"1363","pasta",13107,4
"1364","paste",12937,5
"1365","pasto",11792,5
"1366","pasty",10507,5
"1367","patas",13107,4
"1368","patch",8858,5
"1369","pater",12426,5
"1370","paths",10469,5
"1371","patio",11242,5
"1372","patka",10968,4
"1373","paton",10768,5
"1374","patsy",10507,5
"1375","patty",9523,4
"1376","pauli",10502,5
"1377","paulo",10540,5
"1378","pause",12506,5
"1379","pavan",10636,4
"1380","paved",9873,5
"1381","pavis",10307,5
"1382","pavor",9834,5
"1383","pawed",9954,5
"1384","pawer",11060,5
"1385","pawky",7002,5
"1386","pawns",9914,5
"1387","paxil",9274,5
"1388","paxto",9149,5
"1389","payee",12757,4
"1390","payer",11613,5
"1391","payne",11100,5
"1392","qaeda",12080,4
"1393","qatar",11569,4
"1394","rabat",12388,4
"1395","rabbi",10061,4
"1396","rabid",10402,5
"1397","raced",11932,5
"1398","racer",13038,4
"1399","races",13549,5
"1400","racon",11380,5
"1401","radar",13202,3
"1402","radii",11810,4
"1403","radio",11848,5
"1404","radix",9717,5
"1405","radon",11374,5
"1406","rafts",11254,5
"1407","raged",11543,5
"1408","ragee",13793,4
"1409","raids",12360,5
"1410","rails",13156,5
"1411","rains",12953,5
"1412","rainy",11156,5
"1413","raise",14610,5
"1414","raita",13796,4
"1415","rajab",10683,4
"1416","rajah",10806,4
"1417","raked",11404,5
"1418","rales",14339,5
"1419","rally",11088,4
"1420","ralph",10121,5
"1421","ramee",14080,4
"1422","ramie",12897,5
"1423","ramon",11278,5
"1424","ramus",11399,5
"1425","ranch",10057,5
"1426","randy",10089,5
"1427","ranee",14769,4
"1428","range",12136,5
"1429","rangy",9706,5
"1430","ranid",11336,5
"1431","ranks",11364,5
"1432","rants",12519,5
"1433","raoul",11779,5
"1434","raped",11793,5
"1435","raper",12899,4
"1436","raphe",11575,5
"1437","rapid",10610,5
"1438","raree",15282,3
"1439","rasht",11708,5
"1440","raspy",10980,5
"1441","rasta",14346,4
"1442","ratan",13322,4
"1443","ratch",10097,5
"1444","rated",12559,5
"1445","ratel",13355,5
"1446","rates",14176,5
"1447","ratio",12481,5
"1448","ratty",10762,4
"1449","rauli",11741,5
"1450","raved",11112,5
"1451","ravel",11908,5
"1452","raven",11705,5
"1453","raver",12218,4
"1454","raves",12729,5
"1455","rayed",11746,5
"1456","rayon",11194,5
"1457","razed",10876,5
"1458","razor",10837,4
"1459","saale",15653,4
"1460","saame",14761,4
"1461","saami",13578,4
"1462","sabah",12048,4
"1463","sabal",13062,4
"1464","saber",13202,5
"1465","sabin",11506,5
"1466","sable",12892,5
"1467","sabot",11584,5
"1468","sabra",13372,4
"1469","sabre",13202,5
"1470","sacco",11304,4
"1471","sachs",11592,4
"1472","sacks",11288,4
"1473","sacra",13719,4
"1474","sadat",13240,4
"1475","sadhe",12219,5
"1476","sadhu",10171,5
"1477","sadly",10803,5
"1478","safar",13041,4
"1479","safer",12871,5
"1480","safes",13382,4
"1481","sagas",13841,3
"1482","sages",13671,4
"1483","sahib",10695,5
"1484","saida",13674,4
"1485","saiga",13291,4
"1486","sails",13667,4
"1487","saint",12480,5
"1488","saith",11669,5
"1489","sakis",12349,4
"1490","sakti",11365,5
"1491","salad",13403,4
"1492","salah",13185,4
"1493","salai",14470,4
"1494","salal",14199,3
"1495","salat",14036,4
"1496","salem",13137,5
"1497","sales",14850,4
"1498","salic",12056,5
"1499","salim",11954,5
"1500","salix",11024,5
"1501","sally",11599,4
"1502","salmi",11954,5
"1503","salmo",11992,5
"1504","salol",12884,4
"1505","salon",12681,5
"1506","salpa",13270,4
"1507","salsa",15020,3
"1508","salts",13233,4
"1509","salty",11436,5
"1510","salve",12419,5
"1511","salvo",11274,5
"1512","saman",13104,4
"1513","samba",12170,4
"1514","samia",13578,4
"1515","samoa",13616,4
"1516","sanaa",15620,3
"1517","sands",12397,4
"1518","sandy",10600,5
"1519","sango",11502,5
"1520","santa",13833,4
"1521","santo",12518,5
"1522","sanwa",12467,4
"1523","saone",14135,5
"1524","sapid",11121,5
"1525","sapir",12227,5
"1526","sappy",9741,4
"1527","sarah",13495,4
"1528","saran",14306,4
"1529","sarda",13713,4
"1530","saree",15793,4
"1531","sarin",12953,5
"1532","saris",13977,4
"1533","sassy",13241,3
"1534","satan",13833,4
"1535","sated",13070,5
"1536","satie",14137,5
"1537","satin",12480,5
"1538","satyr",11746,5
"1539","sauce",12645,5
"1540","saucy",10215,5
"1541","saudi",11456,5
"1542","sault",11818,5
"1543","sauna",13402,4
"1544","saury",11315,5
"1545","saute",13272,5
"1546","saved",11623,5
"1547","saver",12729,5
"1548","saves",13240,4
"1549","savin",11033,5
"1550","savor",11584,5
"1551","savoy",10298,5
"1552","savvy",8379,4
"1553","sawan",12467,4
"1554","sawed",11704,5
"1555","saxon",10859,5
"1556","sayan",13020,4
"1557","sayda",12427,4
"1558","tabby",8341,4
"1559","tabes",12729,5
"1560","tabis",11546,5
"1561","table",11908,5
"1562","taboo",11072,4
"1563","tabor",11073,5
"1564","tabuk",8542,5
"1565","tabun",9657,5
"1566","tacca",11635,3
"1567","tacit",10909,4
"1568","tacks",10304,5
"1569","tacky",8507,5
"1570","tacos",11931,5
"1571","taegu",11272,5
"1572","taffy",7679,4
"1573","tagus",10639,5
"1574","tails",12683,5
"1575","taint",11496,4
"1576","taira",13796,4
"1577","tajik",8676,5
"1578","taken",11524,5
"1579","taker",12037,5
"1580","takes",12548,5
"1581","takin",10341,5
"1582","tales",13866,5
"1583","talks",11094,5
"1584","talky",9297,5
"1585","tally",10615,4
"1586","talon",11697,5
"1587","talus",11818,5
"1588","tamal",12323,4
"1589","tamed",11357,5
"1590","tamer",12463,5
"1591","tames",12974,5
"1592","tamil",10970,5
"1593","tammy",8831,4
"1594","tampa",11394,4
"1595","tamus",10926,5
"1596","tandy",9616,5
"1597","taney",11866,5
"1598","tanga",11833,4
"1599","tange",11663,5
"1600","tango",10518,5
"1601","tangy",9233,5
"1602","tanka",11694,4
"1603","tanks",10891,5
"1604","tansy",11233,5
"1605","taped",11320,5
"1606","taper",12426,5
"1607","tapes",12937,5
"1608","tapir",11243,5
"1609","tapis",11754,5
"1610","tappa",11357,3
"1611","taras",14346,4
"1612","tardy",10129,5
"1613","taret",13192,4
"1614","tarot",12047,4
"1615","tarry",11235,4
"1616","tarsi",12993,5
"1617","tarts",12559,4
"1618","tartu",11144,4
"1619","tasks",11915,4
"1620","tasse",14687,4
"1621","tasso",13542,4
"1622","taste",13703,4
"1623","tasty",11273,4
"1624","tatar",13362,3
"1625","tater",13192,4
"1626","tatou",11143,4
"1627","tatty",10289,3
"1628","tatum",9942,4
"1629","taunt",10631,4
"1630","tauon",11103,5
"1631","taupe",11522,5
"1632","tawny",8883,5
"1633","tawse",12337,5
"1634","taxed",10427,5
"1635","taxer",11533,5
"1636","taxes",12044,5
"1637","taxis",10861,5
"1638","taxon",9875,5
"1639","taxus",9996,5
"1640","tayra",12549,4
"1641","tazir",10326,5
"1642","vacay",10002,4
"1643","vacua",10384,4
"1644","vaduz",6908,5
"1645","vagal",10589,4
"1646","vague",9825,5
"1647","vagus",9192,5
"1648","vajra",10210,4
"1649","valet",11435,5
"1650","valid",9619,5
"1651","valle",11598,4
"1652","valmy",8276,5
"1653","valor",10763,5
"1654","valse",12419,5
"1655","value",11004,5
"1656","valve",9988,4
"1657","vanda",10769,4
"1658","vaned",10599,5
"1659","vanes",12216,5
"1660","vanir",10522,5
"1661","vanua",10971,4
"1662","vapid",8690,5
"1663","vapor",9834,5
"1664","varan",11875,4
"1665","varix",8903,5
"1666","varna",11875,4
"1667","varro",11073,4
"1668","varus",10681,5
"1669","vasco",10484,5
"1670","vasty",9826,5
"1671","vatic",9462,5
"1672","vault",9387,5
"1673","vaunt",9184,5
"1674","wacko",8426,5
"1675","wacky",7141,5
"1676","waddy",7657,4
"1677","waded",10087,4
"1678","wader",11193,5
"1679","wafer",10521,5
"1680","waged",9704,5
"1681","wager",10810,5
"1682","wages",11321,5
"1683","wagga",9491,3
"1684","wagon",9152,5
"1685","wahoo",9829,4
"1686","wails",11317,5
"1687","waist",11154,5
"1688","waite",11787,5
"1689","waits",11154,5
"1690","waive",10340,5
"1691","wajda",9185,4
"1692","waked",9565,5
"1693","waken",10158,5
"1694","waker",10671,5
"1695","wakes",11182,5
"1696","wales",12500,5
"1697","walks",9728,5
"1698","walky",7931,5
"1699","walla",11849,3
"1700","walls",11046,4
"1701","wally",9249,4
"1702","waltz",8216,5
"1703","wanda",10850,4
"1704","wands",10047,5
"1705","waned",10680,5
"1706","wanly",9046,5
"1707","wants",10680,5
"1708","wards",10560,5
"1709","wares",12810,5
"1710","warji",8938,5
"1711","warms",10464,5
"1712","warns",11153,5
"1713","warts",11193,5
"1714","warty",9396,5
"1715","washy",9056,5
"1716","wasps",10938,4
"1717","waste",12337,5
"1718","watch",8258,5
"1719","water",11826,5
"1720","watts",10720,4
"1721","waugh",7438,5
"1722","waved",9273,5
"1723","waver",10379,5
"1724","waves",10890,5
"1725","waxed",9061,5
"1726","waxen",9654,5
"1727","waxes",10678,5
"1728","wayne",10500,5
"1729","xanax",9531,3
"1730","yacca",10822,3
"1731","yacht",8811,5
"1732","yahoo",10382,4
"1733","yahve",9608,5
"1734","yahwe",9689,5
"1735","yajur",8626,5
"1736","yakut",8703,5
"1737","yalta",12239,4
"1738","yanan",11996,3
"1739","yards",11113,5
"1740","yarer",12852,4
"1741","yarns",11706,5
"1742","yawed",9907,5
"1743","yawns",9867,5
"1744","yazoo",9550,4
"1745","zaire",11943,5
"1746","zakat",10051,4
"1747","zaman",10437,4
"1748","zamia",10911,4
"1749","zapus",9206,5
"1750","zaria",12113,4
"1751","zarqa",9886,4
"1752","zayin",9000,5
"1753","beach",10267,5
"1754","beads",12096,5
"1755","beady",10299,5
"1756","beaks",11574,5
"1757","beams",12000,5
"1758","beamy",10203,5
"1759","beano",12177,5
"1760","beans",12689,5
"1761","beany",10892,5
"1762","beard",11585,5
"1763","bears",13202,5
"1764","beast",12729,5
"1765","beats",12729,5
"1766","beaut",11314,5
"1767","beaux",9655,5
"1768","bhaga",10048,4
"1769","bhang",8221,5
"1770","bialy",9912,5
"1771","black",8509,5
"1772","blade",11275,5
"1773","blahs",10424,5
"1774","blaia",12512,4
"1775","blain",10685,5
"1776","blair",11198,5
"1777","blake",10753,5
"1778","blame",11179,5
"1779","blanc",9624,5
"1780","bland",9618,5
"1781","blank",9096,5
"1782","blare",12381,5
"1783","blase",12892,5
"1784","blast",11275,5
"1785","blate",11908,5
"1786","blaze",10225,5
"1787","boann",10520,4
"1788","board",10440,5
"1789","boars",12057,5
"1790","boast",11584,5
"1791","boats",11584,5
"1792","brace",11591,5
"1793","bract",9974,5
"1794","brads",10952,5
"1795","brady",9155,5
"1796","braga",11372,4
"1797","brage",11202,5
"1798","bragg",8569,4
"1799","bragi",10019,5
"1800","brahe",11367,5
"1801","braid",10402,5
"1802","brail",11198,5
"1803","brain",10995,5
"1804","brake",11063,5
"1805","braky",8633,5
"1806","brama",11659,4
"1807","brand",9928,5
"1808","brant",10561,5
"1809","brash",10734,5
"1810","brass",12569,4
"1811","braun",10130,5
"1812","brave",10771,5
"1813","bravo",9626,5
"1814","brawl",9398,5
"1815","brawn",9195,5
"1816","braze",10535,5
"1817","cease",14693,4
"1818","chafe",9936,5
"1819","chaff",7014,4
"1820","chaga",10395,4
"1821","chaim",9329,5
"1822","chain",10018,5
"1823","chair",10531,5
"1824","chait",10058,5
"1825","chaja",9706,4
"1826","chalk",8632,5
"1827","champ",8129,5
"1828","chang",8568,5
"1829","chant",9584,5
"1830","chaos",11080,5
"1831","chara",11884,4
"1832","chard",9464,5
"1833","chari",10531,5
"1834","charm",9368,5
"1835","charr",10570,4
"1836","chart",10097,5
"1837","chary",9284,5
"1838","chase",12225,5
"1839","chasm",9879,5
"1840","chats",10608,5
"1841","clack",8856,4
"1842","clade",11622,5
"1843","claes",13239,5
"1844","claim",10343,5
"1845","clamp",9143,5
"1846","clams",10893,5
"1847","clang",9582,5
"1848","clani",11032,5
"1849","clank",9443,5
"1850","clans",11582,5
"1851","clara",12898,4
"1852","clare",12728,5
"1853","clark",9956,5
"1854","claro",11583,5
"1855","clary",10298,5
"1856","clash",10771,5
"1857","clasp",10856,5
"1858","class",12606,4
"1859","clast",11622,5
"1860","claws",10256,5
"1861","clays",10809,5
"1862","coach",9469,4
"1863","coact",10320,4
"1864","coals",12094,5
"1865","coapt",10181,5
"1866","coast",11931,5
"1867","coati",11381,5
"1868","coats",11931,5
"1869","crabs",10958,5
"1870","crack",9166,4
"1871","craft",9643,5
"1872","crags",10916,5
"1873","craig",10366,5
"1874","crake",11410,5
"1875","cramp",9453,5
"1876","crams",11203,5
"1877","crane",12525,5
"1878","crank",9753,5
"1879","crape",11799,5
"1880","craps",11166,5
"1881","crash",11081,5
"1882","crass",12916,4
"1883","crate",12565,5
"1884","crave",11118,5
"1885","crawl",9745,5
"1886","craze",10882,5
"1887","crazy",8452,5
"1888","cyano",10094,5
"1889","deals",13233,5
"1890","dealt",12249,5
"1891","deans",13030,5
"1892","deary",11746,5
"1893","death",11235,5
"1894","dhaka",10250,4
"1895","dhava",9958,4
"1896","dhawa",10039,4
"1897","dials",12050,5
"1898","diana",12650,4
"1899","diane",12480,5
"1900","diary",10563,5
"1901","diazo",9692,5
"1902","draba",11755,4
"1903","draco",10787,5
"1904","draft",9637,5
"1905","drags",10910,5
"1906","drain",11336,5
"1907","drake",11404,5
"1908","drama",12000,4
"1909","drams",11197,5
"1910","drank",9747,5
"1911","drape",11793,5
"1912","drawl",9739,5
"1913","drawn",9536,5
"1914","draws",10560,5
"1915","dwarf",8271,5
"1916","dyaus",10209,5
"1917","egadi",11504,5
"1918","eland",12209,5
"1919","elate",14499,4
"1920","email",12587,5
"1921","enact",12052,5
"1922","enate",14296,4
"1923","erase",15793,4
"1924","erato",13664,5
"1925","esaki",12982,5
"1926","evade",12256,4
"1927","evans",12216,5
"1928","exact",10433,5
"1929","exalt",11223,5
"1930","exams",11315,5
"1931","fears",12871,5
"1932","feast",12398,5
"1933","feats",12398,5
"1934","flack",8178,5
"1935","flags",9928,5
"1936","flail",10557,4
"1937","flair",10867,5
"1938","flake",10422,5
"1939","flaky",7992,5
"1940","flame",10848,5
"1941","flank",8765,5
"1942","flaps",10178,5
"1943","flare",12050,5
"1944","flash",10093,5
"1945","flask",9789,5
"1946","flats",10944,5
"1947","flaws",9578,5
"1948","foamy",8727,5
"1949","frail",10867,5
"1950","frame",11158,5
"1951","franc",9603,5
"1952","frank",9075,5
"1953","frans",11214,5
"1954","franz",8547,5
"1955","fraud",9206,5
"1956","gears",13160,5
"1957","ghana",10982,4
"1958","giant",10480,5
"1959","glace",11239,5
"1960","glade",11233,5
"1961","gland",9576,5
"1962","glans",11193,5
"1963","glare",12339,5
"1964","glary",9909,5
"1965","glass",12217,4
"1966","glaux",8159,5
"1967","glaze",10183,5
"1968","gnarl",10682,5
"1969","gnash",10179,5
"1970","gnats",11030,5
"1971","gnawn",8640,4
"1972","gnaws",9664,5
"1973","goals",11705,5
"1974","goats",11542,5
"1975","grabs",10569,5
"1976","grace",11549,5
"1977","grade",11543,5
"1978","graft",9254,5
"1979","grail",11156,5
"1980","grain",10953,5
"1981","grama",11617,4
"1982","grams",10814,5
"1983","grand",9886,5
"1984","grant",10519,5
"1985","grape",11410,5
"1986","graph",8942,5
"1987","grapo",10265,5
"1988","grapy",8980,5
"1989","grasp",10777,5
"1990","grass",12527,4
"1991","grate",12176,5
"1992","grave",10729,5
"1993","gravy",8299,5
"1994","graze",10493,5
"1995","guama",10713,4
"1996","guano",10087,5
"1997","guans",10599,5
"1998","guard",9495,5
"1999","guava",9995,4
"2000","heads",12219,5
"2001","heady",10422,5
"2002","heals",13015,5
"2003","heaps",12086,5
"2004","heard",11708,5
"2005","hears",13325,5
"2006","heart",12341,5
"2007","heath",11017,4
"2008","heats",12852,5
"2009","heave",12038,4
"2010","heavy",9608,5
"2011","hoagy",8894,5
"2012","hoard",10563,5
"2013","hoary",10383,5
"2014","huang",8764,5
"2015","hwang",7829,5
"2016","icaco",10754,4
"2017","idaho",10524,5
"2018","ilama",12757,4
"2019","ilang",10643,5
"2020","image",11408,5
"2021","imago",10263,5
"2022","imamu",9647,4
"2023","imaum",9647,4
"2024","inane",13073,4
"2025","inapt",10730,5
"2026","iraki",11288,4
"2027","irani",12403,4
"2028","iraqi",10650,4
"2029","irate",13626,5
"2030","isaac",13680,4
"2031","isamu",11360,5
"2032","italo",12171,5
"2033","italy",10886,5
"2034","izaak",10485,4
"2035","jeans",11958,5
"2036","keats",12548,5
"2037","khadi",8897,5
"2038","khaki",8375,4
"2039","khama",10154,4
"2040","khaya",10070,4
"2041","khayr",8756,5
"2042","kiaat",12168,4
"2043","kiang",9325,5
"2044","klaus",10663,5
"2045","knack",8125,4
"2046","knave",10077,5
"2047","knawe",10158,5
"2048","koala",12369,4
"2049","kraal",12370,4
"2050","kraft",9115,5
"2051","krait",10854,5
"2052","kraut",9989,5
"2053","kuala",11466,4
"2054","kvass",10468,4
"2055","leach",11404,5
"2056","leads",13233,5
"2057","leafy",10764,5
"2058","leaks",12711,5
"2059","leaky",10914,5
"2060","leans",13826,5
"2061","leant",12842,5
"2062","leaps",13100,5
"2063","leapt",12116,5
"2064","learn",13315,5
"2065","leary",12542,5
"2066","lease",15483,4
"2067","leash",13015,5
"2068","least",13866,5
"2069","leave",13052,4
"2070","lhasa",13185,4
"2071","liana",13446,4
"2072","llama",12486,3
"2073","llano",11860,4
"2074","loach",10259,5
"2075","loads",12088,5
"2076","loamy",10195,5
"2077","loans",12681,5
"2078","loasa",14508,4
"2079","loath",10886,5
"2080","meade",12974,4
"2081","meals",13137,5
"2082","mealy",11340,5
"2083","means",12934,5
"2084","meant",11950,5
"2085","meany",11137,5
"2086","meats",12974,5
"2087","meaty",11177,5
"2088","miami",10512,3
"2089","miaou",10848,5
"2090","miaow",9913,5
"2091","miasm",11062,4
"2092","miaul",10539,5
"2093","msasa",14128,3
"2094","nears",14136,5
"2095","ngaio",10952,5
"2096","nsaid",11847,5
"2097","nyala",12199,4
"2098","obama",11658,4
"2099","okapi",10087,5
"2100","omaha",11781,4
"2101","omani",11239,5
"2102","omasa",13616,4
"2103","opahs",10941,5
"2104","orach",10569,5
"2105","orang",10991,5
"2106","orate",13664,5
"2107","osage",13159,5
"2108","osaka",13190,4
"2109","osama",13616,4
"2110","ovary",9787,5
"2111","ovate",11744,5
"2112","ozark",9209,5
"2113","ozawa",10312,4
"2114","peace",12943,4
"2115","peach",10475,5
"2116","peaks",11782,5
"2117","peaky",9985,5
"2118","pearl",12589,5
"2119","pears",13410,5
"2120","peary",11613,5
"2121","pease",14554,4
"2122","peaty",11140,5
"2123","peavy",9693,5
"2124","pfalz",7511,5
"2125","phage",10086,5
"2126","phase",12086,5
"2127","piano",11202,5
"2128","place",11489,5
"2129","plage",11100,5
"2130","plaid",10300,5
"2131","plain",10893,5
"2132","plait",10933,5
"2133","plane",12076,5
"2134","plank",9304,5
"2135","plano",10931,5
"2136","plans",11443,5
"2137","plant",10459,5
"2138","plash",10632,5
"2139","plasm",10754,5
"2140","plata",12286,4
"2141","plate",12116,5
"2142","plath",9648,5
"2143","plato",10971,5
"2144","platt",10499,4
"2145","platy",9686,5
"2146","plays",10670,5
"2147","plaza",10603,4
"2148","poach",9330,5
"2149","praha",11745,4
"2150","praia",13030,4
"2151","prang",9753,5
"2152","prank",9614,5
"2153","prate",12426,5
"2154","prawn",9403,5
"2155","praya",11783,4
"2156","prays",10980,5
"2157","psalm",10754,5
"2158","qiang",8687,5
"2159","quack",7096,5
"2160","quaff",6268,4
"2161","quail",9475,5
"2162","quake",9340,5
"2163","quaky",6910,5
"2164","quale",10658,5
"2165","qualm",8312,5
"2166","quark",8196,5
"2167","quart",9351,5
"2168","quash",9011,5
"2169","quasi",10296,5
"2170","reach",11714,5
"2171","react",12565,5
"2172","reads",13543,5
"2173","ready",11746,5
"2174","realm",12626,5
"2175","reams",13447,5
"2176","rearm",12936,4
"2177","rears",14649,4
"2178","reata",14979,4
"2179","reave",13362,4
"2180","riant",11969,5
"2181","riata",13796,4
"2182","rnase",14136,5
"2183","roach",10569,5
"2184","roads",12398,5
"2185","roald",11577,5
"2186","roams",12302,5
"2187","roast",13031,5
"2188","scabs",11469,4
"2189","scads",11810,4
"2190","scald",10989,5
"2191","scale",13239,5
"2192","scalp",10856,5
"2193","scaly",10809,5
"2194","scamp",9964,5
"2195","scans",12403,4
"2196","scant",11419,5
"2197","scape",12310,5
"2198","scare",13549,5
"2199","scarf",10627,5
"2200","scarp",11166,5
"2201","scars",12916,4
"2202","scary",11119,5
"2203","scaup",10262,5
"2204","seals",14850,4
"2205","seams",13958,4
"2206","seamy",12161,5
"2207","sears",15160,4
"2208","seats",14687,4
"2209","shabu",9830,5
"2210","shack",9453,5
"2211","shade",12219,5
"2212","shady",9789,5
"2213","shaft",9930,5
"2214","shags",11203,4
"2215","shahn",10344,4
"2216","shake",11697,5
"2217","shako",10552,5
"2218","shaky",9267,5
"2219","shale",13015,5
"2220","shall",11561,4
"2221","shalt",11398,5
"2222","shame",12123,5
"2223","shang",10179,5
"2224","shank",10040,5
"2225","shape",12086,5
"2226","shard",11075,5
"2227","share",13325,5
"2228","shari",12142,5
"2229","shark",10553,5
"2230","sharp",10942,5
"2231","shave",11405,5
"2232","shawl",10032,5
"2233","shawm",9140,5
"2234","shawn",9829,5
"2235","skank",9736,4
"2236","skate",12548,5
"2237","slabs",12259,4
"2238","slack",10467,5
"2239","slain",12643,5
"2240","slake",12711,5
"2241","slang",11193,5
"2242","slant",12209,5
"2243","slaps",12467,4
"2244","slash",12382,4
"2245","slask",12078,4
"2246","slate",13866,5
"2247","slats",13233,4
"2248","slaty",11436,5
"2249","slave",12419,5
"2250","slays",12420,4
"2251","smack",9575,5
"2252","small",11683,4
"2253","smarm",11101,4
"2254","smart",11830,5
"2255","smash",11490,4
"2256","snack",10264,5
"2257","snafu",10310,5
"2258","snags",12014,4
"2259","snail",12643,5
"2260","snake",12508,5
"2261","snaky",10078,5
"2262","snaps",12264,4
"2263","snare",14136,5
"2264","snarf",11214,5
"2265","snarl",12682,5
"2266","soaks",12387,4
"2267","soaps",12776,4
"2268","soapy",10979,5
"2269","soave",12728,5
"2270","space",12310,5
"2271","spacy",9880,5
"2272","spade",12304,5
"2273","spain",11714,5
"2274","spall",11646,4
"2275","spang",10264,5
"2276","spank",10125,5
"2277","spans",12264,4
"2278","spare",13410,5
"2279","spark",10638,5
"2280","spars",12777,4
"2281","spasm",11575,4
"2282","spate",12937,5
"2283","spawl",10117,5
"2284","spawn",9914,5
"2285","stabs",12096,4
"2286","stack",10304,5
"2287","stael",13866,5
"2288","staff",9476,4
"2289","stage",12687,5
"2290","stags",12054,4
"2291","stagy",10257,5
"2292","staid",11887,5
"2293","stain",12480,5
"2294","stair",12993,5
"2295","stake",12548,5
"2296","stale",13866,5
"2297","stalk",11094,5
"2298","stall",12412,4
"2299","stamp",10591,5
"2300","stand",11413,5
"2301","stank",10891,5
"2302","staph",10469,5
"2303","stare",14176,5
"2304","stark",11404,5
"2305","starr",13032,4
"2306","stars",13543,4
"2307","start",12559,4
"2308","stash",12219,4
"2309","state",13703,4
"2310","stave",12256,5
"2311","stays",12257,4
"2312","suave",11825,5
"2313","swage",11321,5
"2314","swain",11114,5
"2315","swale",12500,5
"2316","swami",10425,5
"2317","swamp",9225,5
"2318","swank",9525,5
"2319","swans",11664,4
"2320","sward",10560,5
"2321","swarm",10464,5
"2322","swart",11193,5
"2323","swash",10853,4
"2324","swath",9869,5
"2325","swazi",9471,5
"2326","teach",11241,5
"2327","teals",13866,5
"2328","teams",12974,5
